index,domain,subject,topic,problem,solution,answers,answer_type,unit,is_multiple_answer,language,level
2863,Mechanics and Thermodynamics,Thermodynamics,Thermodynamic State and First Law of Thermodynamics,"A spherical blackbody with a radius of \( r \) and a temperature of \( T \) is surrounded by a concentric spherical shell with a radius of \( R \), with both sides of the shell being black. Assume the ambient temperature is \( T_{0} \). Find the rate of energy loss \( Q \) of the blackbody before the shell is placed around it.","Before the shell is placed, the rate of energy loss of the blackbody is \( Q = 4 \pi r^{2} \sigma \left(T^{4} - T_{0}^{4}\right) \).",\boxed{4 \pi r^{2} \sigma \left(T^{4} - T_{0}^{4}\right)},EX,,False,EN,Laws Application
2864,Mechanics and Thermodynamics,Thermodynamics,Thermodynamic State and First Law of Thermodynamics,"For Dietrich gases, the equation of state is given by:

$$
p(V-b)=R T \mathrm{e}^{-\frac{a}{R T V}}
$$

where \( a \) and \( b \) are constants, and \(\left|\frac{b}{V}\right| \ll 1, \left|\frac{a}{V^{2} p}\right| \ll 1\). Find the second virial coefficient \( B(T) \) for this type of gas.","According to the problem, \(\left|\frac{b}{V}\right| \ll 1, \left|\frac{a}{V^{2} p}\right| \ll 1\).

The second condition can be rewritten as \(\left|\frac{a}{R T V}\right| \ll 1\), which allows us to approximate:

$$
p V \approx \frac{R T}{1-\frac{b}{V}} \mathrm{e}^{-\frac{a}{R T V}} \approx R T\left(1+\frac{b}{V}\right)\left(1-\frac{a}{R T V}\right)
$$

By listing the terms sequentially, we obtain the second virial coefficient for the Dietrich gas as:

$$
B(T)=b-\frac{a}{R T}
$$",\boxed{b-\frac{a}{RT}},EX,,False,EN,Math Derivation
2865,Mechanics and Thermodynamics,Thermodynamics,Phase Transition and Equilibrium,"A solid phase can exist above the critical temperature. Determine the correctness of this statement, with the answer indicated by T (for true) or F (for false).",F.,\boxed{No},TF,,False,EN,Knowledge Recall
2866,Mechanics and Thermodynamics,Thermodynamics,Second Law of Thermodynamics and Entropy,"A particle with mass $m$ is suspended on a spring, forming an adiabatic system. The spring's elastic coefficient is $k$, and its mass can be neglected. The particle is moved to a distance $A$ from the equilibrium position and then released from rest, starting to oscillate. Because the system is adiabatic, find the entropy change of the surroundings.","Since the system is adiabatic, there is no change in the entropy of the surroundings, i.e.,

$$
\Delta S_{\text{surroundings}} = 0
$$",\boxed{0},NV,,False,EN,
2867,Mechanics and Thermodynamics,Thermodynamics,Second Law of Thermodynamics and Entropy,"There is a large heat reservoir at $900 \ \mathrm{K}(H)$ and another at $300 \ \mathrm{K}(C)$. A reversible engine operates between $H$ and $C$. If 100 cal of heat is absorbed from $H$, how much work is done externally?","The work done by the heat engine is:

$$
W = \eta Q_{1} = \left(1 - \frac{T_{C}}{T_{H}}\right) Q_{1} = \left(1 - \frac{300}{900}\right) \times 100 = \frac{200}{3} \ \mathrm{cal}
$$

The heat transferred to $C$ is:

$$
Q_{2} = Q_{1} - W = \frac{100}{3} \ \mathrm{cal}
$$",\boxed{\frac{200}{3}},NV,\mathrm{cal},False,EN,Laws Application
2868,Mechanics and Thermodynamics,Thermodynamics,Second Law of Thermodynamics and Entropy,"Hydraulic Machine: A self-sufficient machine that only inputs equal amounts of steady flow of cold and hot water at temperatures $T_1$ and $T_2$. The only output is the jet of water. Assume that the specific heat capacity $c$ of water is independent of temperature. The machine is operating in a steady state, and the kinetic energy of the incoming water flow can be neglected. Express the velocity of the ejected water in terms of $T_1$, $T_2$, and $T$, where $T$ is the temperature of the water at the nozzle.","The increase in heat energy $\Delta Q$ per unit mass of water is

$$
\Delta Q = \frac{1}{2}[c(T_1 - T) - c(T - T_2)]
$$

The machine operates in a stable manner, so the increased heat energy is completely converted into kinetic energy by the outflow, i.e., $\frac{1}{2} v^2 = \Delta Q$, thus $v = \sqrt{c(T_1 + T_2 - 2T)}$.",\boxed{\sqrt{c(T_1 + T_2 - 2T)}},EX,,False,EN,
2869,Mechanics and Thermodynamics,Thermodynamics,Thermodynamic State and First Law of Thermodynamics,"Ignoring the variation in temperature and molar mass of the atmosphere with altitude, study whether the buoyant force on a freely expanding hydrogen balloon, which maintains equal internal and external pressure, changes during its ascent. Assume the atmospheric pressure at the ground is $p_{0}$, density is $\rho_{0}$, and the balloon's initial volume is $V_{0}$; at an altitude $h$, the atmospheric pressure is $p$, density is $\rho$, and the balloon's volume is $V$. The atmospheric temperature does not change with altitude.","(1) Since the atmospheric temperature does not change with altitude, Boyle's Law can be applied:

$$
p_{0} V_{0} = p V
$$

Using the ideal gas equation of state, we have:

\[
p_{0} = \frac{\rho_{0} R T_{0}}{\mu} \quad \text{and} \quad p = \frac{\rho R T_{0}}{\mu} 
\]

Substituting these equations, we get:

\[
\rho_{0} V_{0} = \rho V
\]

The buoyant force experienced by the balloon in the atmosphere is equal to the weight of the atmosphere it displaces. Thus, the buoyant force $F_{h}$ on the balloon at altitude $h$ is:

\[
F_{h} = \rho V g = \rho_{0} V_{0} g = F_{0} 
\]

where $F_{0}$ is the buoyant force experienced by the balloon at the ground. Therefore, for a hydrogen balloon that can freely expand, in an isothermal and constant molar mass atmosphere, the buoyant force $F$ remains constant and does not change with the balloon's altitude.",\boxed{No},TF,,False,EN,Laws Application
2870,Mechanics and Thermodynamics,Thermodynamics,Second Law of Thermodynamics and Entropy,"A reversible heat engine operates between two heat reservoirs with temperatures $T_{1}$ and $T_{2}$ ($T_{2} > T_{1}$). The heat reservoir at $T_{1}$ can be considered to have an infinite mass, while the heat reservoir at $T_{2}$ consists of a fixed volume of gas ($\mu$ moles, with heat capacity $c_{v}$). After the heat engine has been working for a long time, $T_{2} = T_{1}$. How much heat is absorbed from the heat source during the operation of the heat engine?",$Q_{\text{absorbed}} = \mu c_{v}(T_{2} - T_{1})$,\boxed{\mu c_{v}(T_{2} - T_{1})},EX,,False,EN,Laws Application
2871,Mechanics and Thermodynamics,Thermodynamics,Thermodynamic State and First Law of Thermodynamics,"(1) For 1 mol of an ideal gas at a temperature of $t=0^{\circ} \mathrm{C}$, it expands isothermally from the initial volume $V_{0}$ to $10V_{0}$. Find the work $W$ done by the gas.","(1)  
\[ 
W=\int_{V_{0}}^{10V_{0}} p \, \mathrm{d}V=\int_{V_{0}}^{10V_{0}} \frac{RT}{V} \, \mathrm{d}V=RT \ln 10=5.2 \times 10^{3} \, \mathrm{J} 
\]",\boxed{5.2 \times 10^{3}},NV,,False,EN,
2872,Mechanics and Thermodynamics,Thermodynamics,Second Law of Thermodynamics and Entropy,"Assuming a very deep mine shaft is drilled near the Earth's South Pole or North Pole, from a surface temperature of $-40^{\circ} \mathrm{C}$ down to a depth with a temperature of $800^{\circ} \mathrm{C}$. What is the theoretical maximum efficiency of a heat engine operating between these two temperatures?","The theoretical maximum efficiency of the heat engine is

$$
\eta=1-\frac{T_{2}}{T_{1}}=1-\frac{233}{1073}=78.3\%
$$",\boxed{78.3},NV,\%,False,EN,Laws Application
2873,Mechanics and Thermodynamics,Thermodynamics,Second Law of Thermodynamics and Entropy,"$1 \, \mathrm{kg}$ of water at $0^{\circ} \mathrm{C}$ is in contact with a heat source at $100^{\circ} \mathrm{C}$. What is the change in entropy of the entire system when the water's temperature reaches $100^{\circ} \mathrm{C}$?","The change in entropy of the heat source is

$$
\Delta S_{\text {heat\ source}} = -\frac{\left|Q_{\text {released}}\right|}{T} = -\frac{1000 \times 4.18 \times 100}{373} = -1121 \, \mathrm{J/K}
$$

Therefore, the change in entropy of the entire system is

$$
\Delta S = \Delta S_{\text {water}} + \Delta S_{\text {heat\ source}} = 184 \, \mathrm{J/K} > 0
$$

which is consistent with the principle of entropy increase.",\boxed{184},NV,\mathrm{J/K},False,EN,Laws Application
2874,Mechanics and Thermodynamics,Thermodynamics,Thermodynamic State and First Law of Thermodynamics,One mole of a monoatomic ideal gas undergoes expansion at constant pressure from an initial temperature \(T_{0}\) and volume \(V_{0}\) to a volume of \(2V_{0}\). Calculate the work done on the surroundings and the heat absorbed during this expansion process.,"In the case of constant pressure, the work done on the surroundings is given by

\[ 
W = \int_{V_{0}}^{2V_{0}} p \, \mathrm{d}V = p(V_{0}) = RT_{0} 
\]

The increase in internal energy is

\[ 
\Delta U = c_{v} \Delta T = \frac{3}{2} R \Delta T = \frac{3}{2} p \Delta V = \frac{3}{2} p V_{0} = \frac{3}{2} RT_{0} 
\]

Therefore, the heat absorbed from the surroundings is

\[ 
Q = \Delta U + W = \frac{5}{2} RT_{0} 
\]

Alternatively, from 

\[ 
Q = c_{p} \Delta T = \frac{5}{2} R \Delta T = \frac{5}{2} p \Delta V = \frac{5}{2} p V_{0} = \frac{5}{2} RT_{0} 
\]

we obtain the same result.","\boxed{RT_{0}, \frac{5}{2} RT_{0}}","EX, EX","\text{J}, \text{J}",True,EN,Laws Application
2875,Mechanics and Thermodynamics,Thermodynamics,Second Law of Thermodynamics and Entropy,"In the theory of the Big Bang, the radiative energy initially confined to a small region expands adiabatically in a spherically symmetric manner, describing the total entropy of a photon gas. Express the total entropy of the photon gas in terms of the temperature $T$, volume $V$, and constants $k, \hbar, c$.","$\mathrm{d} S = \frac{\mathrm{d} U}{T} + \frac{p}{T} \mathrm{~d} V = V \mathrm{~d} u / T + \frac{4}{3} u \mathrm{~d} V / T = \mathrm{d}\left(\frac{4}{3} a T^{3} V\right)$, hence $S = \frac{4}{3} a T^{3} V$. Through dimensional analysis, we know $a \approx k^{4} / (\hbar c)^{3}$. In fact, from statistical physics, $a = \frac{\pi^{2}}{15} \frac{k^{4}}{(\hbar c)^{3}}$, so $S = \frac{4 \pi^{2}}{45} \frac{k^{4}}{(\hbar c)^{3}} T^{3} V$.",\[\boxed{\frac{4 \pi^{2}}{45} \frac{k^{4}}{(\hbar c)^{3}} T^{3} V}\],EX,,False,EN,Math Derivation
2876,Mechanics and Thermodynamics,Thermodynamics,Second Law of Thermodynamics and Entropy,"Calculate the change in entropy for one gram-atom of silver when heated isochorically from $0^{\circ} \mathrm{C}$ to $30^{\circ} \mathrm{C}$. In this temperature range, $c_{v}$ can be considered constant, with a value of approximately $5.8 \, \mathrm{cal}/(\mathrm{mol} \cdot \mathrm{K})$.","The change in entropy

$$
\Delta S = \int_{T_{1}}^{T_{2}} \frac{c_{v} \, \mathrm{d}T}{T} = c_{v} \ln \frac{T_{2}}{T_{1}} = 5.8 \ln \frac{30 + 273}{273} \approx 0.61 \, \mathrm{(cal/K)}
$$",\boxed{0.61},NV,\mathrm{cal/K},False,EN,Laws Application
2877,Mechanics and Thermodynamics,Thermodynamics,Thermodynamic State and First Law of Thermodynamics,"Dalton Temperature Scale. Dalton proposed a temperature scale where, under a given pressure, the relative increase in the volume of an ideal gas is proportional to the increase in temperature. It uses the freezing point temperature of water at standard atmospheric pressure as 0 degrees Celsius and the boiling point as 100 degrees Celsius. Let the temperature increment of an ideal gas at constant pressure be $\mathrm{d} \tau$, and the corresponding relative volume increase be $\frac{\mathrm{d} V}{V}$. Find the proportionality coefficient $\alpha$ and the relationship between Dalton temperature $\tau$ and Celsius temperature $t$.","Let the proportionality coefficient be $\alpha$. According to the definition, we have

$$
\frac{\mathrm{d} V}{V} = \alpha \mathrm{d} \tau
$$

Integrating the above equation, considering that when the temperature is $\tau = \tau_{0}$, the volume of the gas is $V_{0}$, and when the temperature is $\tau$, the volume is $V$, we get

$$
\ln \frac{V}{V_{0}} = \alpha\left(\tau-\tau_{0}\right)
$$

On the other hand, for an ideal gas with a constant pressure on the Celsius scale $t$, we have

$$
\frac{V}{V_{0}} = \frac{T}{T_{0}} = \frac{t+273.15}{t_{0}+273.15}
$$

Substitute $\frac{V}{V_{0}}$ into the expression for $\ln \frac{V}{V_{0}}$, considering the calibration temperatures at the freezing and boiling points of water are $\tau_{0} = t_{0} = 0, \tau_{1} = t_{1} = 100$. Substituting these values, we get the proportionality coefficient

$$
\alpha = \frac{1}{100} \ln \frac{373.15}{273.15} = \frac{1}{320.55}
$$

Thus, the relationship between Dalton temperature $\tau$ and Celsius temperature $t$ is

$$
\tau = \frac{1}{\alpha} \ln \frac{V}{V_{0}} = 320.55 \ln \left(\frac{t}{273.15} + 1\right)
$$

The Dalton temperature scale is nonlinear, and hence it has a nonlinear relationship with the ideal gas Celsius scale.","\boxed{\alpha = \frac{1}{320.55}, \tau = 320.55 \ln \left(\frac{t}{273.15} + 1\right)}",EX,"None, None",True,EN,Math Derivation
2878,Mechanics and Thermodynamics,Thermodynamics,Thermodynamic Functions and Equilibrium Conditions,Find the specific heat capacity at constant volume \( c_{v} \) for a unit volume of a blackbody radiation field.,"Given that the energy density of a blackbody radiation field is \( u = a T^{4} \), where \( a \) is a constant. Therefore, the internal energy \( U \) and pressure \( p \) of the radiation field are

$$
\begin{aligned}
& U = u V = a T^{4} V, \\
& p = \frac{1}{3} u = \frac{1}{3} a T^{4}.
\end{aligned}
$$

Thus, the specific heat capacity at constant volume for a unit volume is

$$
c_{v} = \frac{1}{V}\left(\frac{\partial U}{\partial T}\right)_{V} = 4 a T^{3}.
$$",\boxed{4aT^{3}},EX,,False,EN,Knowledge Recall
2879,Mechanics and Thermodynamics,Thermodynamics,Phase Transition and Equilibrium,"The boiling point of oxygen is higher than that of nitrogen. Determine the correctness of this statement, with the answer expressed as T (for true) and F (for false).",T.,\boxed{Yes},TF,,False,EN,Knowledge Recall
2880,Mechanics and Thermodynamics,Thermodynamics,Second Law of Thermodynamics and Entropy,"Given the specific heat of water is $1 \mathrm{cal}/(\mathrm{g} \cdot \mathrm{K})$ and $1 \mathrm{cal} = 4.18 \mathrm{~J}$. A $1 \mathrm{~kg}$ quantity of water initially at $0^{\circ} \mathrm{C}$ first comes into contact with a heat reservoir at $50^{\circ} \mathrm{C}$. After reaching equilibrium, it then comes into contact with a heat reservoir at $100^{\circ} \mathrm{C}$. Determine the change in entropy of the entire system.","During this process, the change in entropy of the water is $\Delta S_{1}^{\prime} = 0.312 \mathrm{kcal}/\mathrm{K}$. The change in entropy of the heat reservoir is
$$
\begin{gathered}
\Delta S_{2}^{\prime} = -\frac{1 \times (50-0)}{273+50} - \frac{1 \times (100-50)}{273+100} = -0.289 \mathrm{kcal}/\mathrm{K} \\
\Delta S^{\prime} = \Delta S_{1}^{\prime} + \Delta S_{2}^{\prime} = 0.023 \mathrm{kcal}/\mathrm{K}
\end{gathered}
$$",\boxed{0.023},NV,\mathrm{kcal}/\mathrm{K},False,EN,Laws Application
2881,Mechanics and Thermodynamics,Thermodynamics,Thermodynamic Functions and Equilibrium Conditions,"Consider an ideal gas with entropy given by:

$$
S=\frac{n}{2}\left\{\sigma+5 R \ln \frac{U}{n}+2 R \ln \frac{V}{n}\right\}
$$

where $n$ is the number of moles, $R$ is the gas constant, $U$ is the energy, $V$ is the volume, and $\sigma$ is a constant. Calculate the heat capacities at constant pressure $c_{p}$ and at constant volume $c_{v}$.","The temperature $T$ is determined by the equation:

$$
\frac{1}{T}=\left(\frac{\partial S}{\partial U}\right)_{V}=\frac{n}{2} \cdot 5 R \cdot \frac{1}{U}, \quad \text{thus } U=\frac{5}{2} R n T
$$

Therefore, the heat capacity at constant volume is $c_{v}=\frac{1}{n}\left(\frac{\mathrm{d} U}{\mathrm{d} T}\right)_{V}=\frac{5}{2} R$, and the heat capacity at constant pressure is $c_{p}=c_{v}+R=\frac{7}{2} R$.","\boxed{c_{v} = \frac{5}{2} , c_{p} = \frac{7}{2}}","NV, NV","R, R",True,EN,Math Derivation
2882,Mechanics and Thermodynamics,Thermodynamics,Thermodynamic State and First Law of Thermodynamics,"(2) For 1 mol of an ideal gas initially at a temperature of $t_{i}=0^{\circ} \mathrm{C}$, adiabatically expand from an initial volume of $V_{0}$ to $10V_{0}$. Find the final temperature $t_{f}$.","(2)  
According to the adiabatic process equation $pV^{\gamma}=$ constant and the state equation $pV=RT$, we have $TV^{\gamma-1}=$ constant. Therefore,  
\[ 
T_{f}=T_{i}\left(\frac{V_{i}}{V_{f}}\right)^{\gamma-1} 
\]  
If the ideal gas is monoatomic, then $\gamma=\frac{5}{3}$, which results in $t_{f}=59 \, \mathrm{K}$, meaning $t_{f}=-214^{\circ} \mathrm{C}$.",\boxed{-214},NV,{}^{\circ} \mathrm{C},False,EN,Laws Application
2883,Mechanics and Thermodynamics,Thermodynamics,Thermodynamic State and First Law of Thermodynamics,"Two parallel plates in a vacuum have a separation much smaller than the dimensions of the plates. Given that $T_{1} = 300\, \text{K}$ and $T_{2} = 4.2\, \text{K}$, and assuming both plates are black bodies, find the net energy transferred per unit area per unit time, $W$, between the plates.","For black bodies, $e_{1}=E_{1}, e_{2}=E_{2}, W=E_{1}-E_{2}=\sigma\left(T_{1}^{4}-T_{2}^{4}\right)=460\, \mathrm{W/m^2}$.",\boxed{460},NV,\mathrm{W/m^2},False,EN,Laws Application
2884,Mechanics and Thermodynamics,Thermodynamics,Thermodynamic State and First Law of Thermodynamics,"How much heat is required to heat 1000 g of nitrogen from \(-20^{\circ} \mathrm{C}\) to \(100^{\circ} \mathrm{C}\) at constant pressure? Given that the constant volume specific heat of nitrogen \(c_{\mathrm{v}}=5\, \mathrm{cal}/\mathrm{mol}\cdot{}^{\circ}\mathrm{C}\), and \(R=2\, \mathrm{cal}/\mathrm{mol}\cdot{}^{\circ}\mathrm{C}\).","Assuming nitrogen is an ideal gas. The heat absorbed during this process is 

$$
Q = n\left(c_{\mathrm{v}} + R\right) \Delta T = \frac{1000}{28}(5 + 2) \times 120 = 30 \times 10^{3}\, \text{cal}
$$",\boxed{30 \times 10^{3}},NV,cal,False,EN,Laws Application
2885,Mechanics and Thermodynamics,Thermodynamics,Thermodynamic Functions and Equilibrium Conditions,"Near the surface of the Earth, an air parcel that rises slowly, adiabatically, and without being constrained, will neither keep rising indefinitely nor fall (the atmosphere is almost non-convective). When the height $z$ is small, the atmospheric pressure $p$ is given by $p = p_{0}(1-\alpha z)$, where $p_{0}$ is the atmospheric pressure at the Earth's surface. Determine the relationship between $\alpha$, the gravitational acceleration at the surface $g$, and the molecular weight $M$. Assume the air contains $\frac{4}{5} \mathrm{N}_{2}$ and $\frac{1}{5} \mathrm{O}_{2}$.","According to the problem, near the Earth's surface, $\mathrm{d} p / \mathrm{d} z = -\alpha p_{0}$, and also

$$
\mathrm{d} p / \mathrm{d} z = -\rho g
$$

Thus, $\alpha = \rho_{0} g / p_{0}$, where $\rho_{0}$ is the density of the atmosphere at the Earth's surface. Also,

$$
p_{0} = R T_{0} / V_{0} = R T_{0} \rho_{0} / M
$$

where $R$ is the ideal gas constant, $V_{0}$ is the molar volume, and $M$ is the molar mass:

$$
M = \frac{4}{5} \times 28 + \frac{1}{5} \times 32 = 29
$$

Hence, we have $\alpha = M g / R T_{0}$.",\boxed{\alpha = \frac{M g}{R T_0}},EQ,,False,EN,
2886,Mechanics and Thermodynamics,Thermodynamics,Thermodynamic Functions and Equilibrium Conditions,"The Gibbs function $G$ of a system can be expressed as

$$
G = G_{0} + A T + B p + \frac{1}{2} C T^{2} + D T p + \frac{1}{2} E p^{2}
$$

where $G_{0}$ is the value of $G$ as $T \rightarrow 0$ and $p \rightarrow 0$, and $A, B, C, D, E$ are constants. Find the entropy of the system $S = S(T, p)$.","The total differential $\mathrm{d} G$ of $G = G(T, p)$ is

$$
\mathrm{d} G = -S \mathrm{d} T + V \mathrm{d} p
$$

Thus, we have

$$
S = -\left(\frac{\partial G}{\partial T}\right)_{p} = -A - C T - D p
$$",\boxed{-A - C T - D p},EX,,False,EN,Laws Application
