model_name,system_prompt,user_prompt,academic_discipline,academic_field,abstract
gpt-5-2025-08-07,"You are an expert academic writer specializing in producing realistic, high-quality research abstracts. You will be given an academic field, and your task is to generate a realistic academic abstract in that field. The abstract should be between 150 and 300 words in length and written in a formal academic style.
The abstract should clearly state:
- the research problem or question,
- the methodological approach,
- the main findings, and
- the key implications or contributions.
Do not include citations, references, section headings, or any explanatory text. Output only the abstract itself.",Academic field: Economics,Social Sciences,Economics,"This study investigates how unexpected energy price shocks propagate through regional labor markets and affect wage inequality in the United States. We ask whether exposure to energy-intensive production and commuting patterns amplifies the distributional consequences of oil and natural gas price volatility, and whether local labor market frictions mediate these effects. Using a shift-share identification strategy that combines exogenous global energy price movements with pre-determined county-level energy intensity and commuting dependence, we estimate dynamic treatment effects on wages, employment, and earnings dispersion from 1990 to 2022. The empirical strategy leverages administrative earnings records and household survey microdata, alongside an event-study design with staggered treatment timing and controls for contemporaneous macroeconomic shocks.

We find that positive energy price shocks raise average nominal wages but substantially increase within-county wage inequality. In high-exposure counties, the 90–10 wage gap widens by 2.1–2.8 percent over two years, driven by earnings gains among high-skilled workers in tradable and energy-adjacent sectors, while low-skilled service workers experience stagnant or declining real wages due to higher local price levels. Employment effects are modest on average but negative in commuting-dependent areas where higher fuel costs reduce labor supply and job-to-job mobility. Heterogeneity analyses indicate that stronger collective bargaining coverage and more elastic housing supply attenuate inequality increases.

These results highlight the distributional trade-offs inherent in energy price volatility and the energy transition. Policy implications include the value of targeted wage subsidies or earned income tax credit expansions for low-wage workers in exposed regions, investments in public transit to mitigate commuting cost pass-through, and housing market reforms to ease local price pressures. The findings underscore the importance of integrating energy price risk into regional inequality and labor market policy design."
gpt-5.2-2025-12-11,"You are an expert academic writer specializing in producing realistic, high-quality research abstracts. You will be given an academic field, and your task is to generate a realistic academic abstract in that field. The abstract should be between 150 and 300 words in length and written in a formal academic style.
The abstract should clearly state:
- the research problem or question,
- the methodological approach,
- the main findings, and
- the key implications or contributions.
Do not include citations, references, section headings, or any explanatory text. Output only the abstract itself.",Academic field: Geography,Social Sciences,Geography,"This study examines how rapid peri-urban expansion reshapes flood exposure and social vulnerability in secondary cities, where planning capacity often lags behind land conversion. Focusing on the Accra–Tema corridor in Ghana as a representative West African peri-urban region, we integrate multi-temporal satellite-derived land-cover classification (2000–2023) with hydrodynamic flood modeling and household survey data to assess the co-evolution of built-up growth, drainage alteration, and differential risk. Land-cover change is quantified using a supervised machine-learning workflow validated against high-resolution imagery, while flood depths and extents are simulated under observed and counterfactual land-use scenarios to isolate the effect of urbanization. Vulnerability is estimated through a composite index derived from survey-based indicators of housing quality, tenure security, income stability, and access to early warning and services, and is spatially linked to modeled hazard intensity. Results show that built-up area more than doubled, with infill and wetland encroachment producing a statistically significant increase in modeled peak inundation depths in downstream neighborhoods. Risk is concentrated where recent informal settlement overlaps with low-lying reclaimed land, and where drainage connectivity has been fragmented by road embankments and plot-level filling. Counterfactual simulations indicate that land conversion accounts for a substantial share of the observed increase in flood extent, independent of rainfall variability. The study contributes an integrated, replicable framework for diagnosing peri-urban flood risk and demonstrates that targeted protection of remaining wetlands, enforcement of drainage easements, and tenure-sensitive upgrading can yield disproportionate reductions in exposure for the most vulnerable households."
gpt-5-2025-08-07,"You are an expert academic writer specializing in producing realistic, high-quality research abstracts. You will be given an academic field, and your task is to generate a realistic academic abstract in that field. The abstract should be between 150 and 300 words in length and written in a formal academic style.
The abstract should clearly state:
- the research problem or question,
- the methodological approach,
- the main findings, and
- the key implications or contributions.
Do not include citations, references, section headings, or any explanatory text. Output only the abstract itself.",Academic field: Geography,Social Sciences,Geography,"Urban green infrastructure is increasingly promoted as a nature-based solution to mitigate heat stress, yet its uneven distribution raises concerns about environmental justice in rapidly densifying cities. This study asks how spatial configurations of green space influence neighborhood-scale thermal exposure and whether benefits are equitably distributed across socio-demographic groups. Combining high-resolution land surface temperature data from summer heat events with multispectral remote sensing, we quantified vegetation structure using normalized difference vegetation indices and tree canopy metrics for 1,200 census tracts in a megacity. A spatially explicit mixed-effects model, incorporating spatial lag terms to address autocorrelation, was coupled with geographically weighted regression to capture local non-stationarities. We further integrated crowd-sourced microclimate transects to validate remotely sensed heat profiles at street level. Results indicate that a 10 percent increase in contiguous tree canopy is associated with a 0.7–1.1°C reduction in daytime land surface temperature, with patch connectivity exerting a stronger cooling effect than total green area alone. Cooling benefits diminish sharply beyond 60 meters from canopy edges, highlighting the importance of configuration. Socioeconomic analyses reveal significant inequities: tracts with lower median incomes and higher proportions of renters experience systematically higher thermal exposure, even after controlling for built-form density and albedo. Policy simulations suggest that targeted infill tree planting along heat-vulnerable corridors yields up to three times the cooling per hectare compared to park expansion at the urban fringe. The study advances urban climate geography by isolating the role of green space morphology in thermal regulation and provides actionable guidance for equitable, fine-grained heat adaptation strategies."
gpt-5.2-2025-12-11,"You are an expert academic writer specializing in producing realistic, high-quality research abstracts. You will be given an academic field, and your task is to generate a realistic academic abstract in that field. The abstract should be between 150 and 300 words in length and written in a formal academic style.
The abstract should clearly state:
- the research problem or question,
- the methodological approach,
- the main findings, and
- the key implications or contributions.
Do not include citations, references, section headings, or any explanatory text. Output only the abstract itself.",Academic field: Geography,Social Sciences,Geography,"This study examines how rapid peri-urban expansion reshapes flood risk and social vulnerability in secondary cities, where planning capacity often lags behind land conversion. Focusing on the Lower Ndera River corridor in a fast-growing metropolitan fringe, we integrate multi-temporal satellite imagery (2000–2024), hydrodynamic flood modeling, and household survey data to assess the coupled dynamics of land-cover change, exposure, and adaptive capacity. Land-use classification reveals a 214% increase in impervious surfaces, concentrated along newly formalized road axes and informal subdivision fronts. Model simulations indicate that these changes have increased peak runoff by 18–27% for 10- and 50-year rainfall events, expanding inundation extents by up to 1.6 km² and shifting flood hotspots downstream into recently settled neighborhoods. Survey results (n = 612) show that low-income households are disproportionately located in high-hazard zones due to land price gradients and tenure insecurity, while also exhibiting lower access to early warning information, drainage maintenance, and post-flood credit. A composite vulnerability index demonstrates that exposure and sensitivity have risen faster than adaptive capacity, producing a net increase in risk despite modest infrastructure upgrades. The findings highlight the need for flood governance that treats peri-urbanization as a hydrosocial process, combining enforceable setback regulations, incremental drainage investments, and tenure-responsive risk communication. The study contributes a transferable framework for linking remote sensing, process-based modeling, and social data to diagnose emergent flood risk in rapidly transforming urban fringes."
gpt-5-2025-08-07,"You are an expert academic writer specializing in producing realistic, high-quality research abstracts. You will be given an academic field, and your task is to generate a realistic academic abstract in that field. The abstract should be between 150 and 300 words in length and written in a formal academic style.
The abstract should clearly state:
- the research problem or question,
- the methodological approach,
- the main findings, and
- the key implications or contributions.
Do not include citations, references, section headings, or any explanatory text. Output only the abstract itself.",Academic field: Geography,Social Sciences,Geography,"Urban coastal neighborhoods are increasingly exposed to compound climate risks, yet fine-grained understanding of how social vulnerability intersects with micro-scale flood dynamics remains limited. This study asks how household-level adaptive capacity mediates exposure to tidal flooding under accelerating sea-level rise in three low-lying districts of Dar es Salaam, Tanzania. We integrate high-resolution hydrodynamic modeling with participatory mapping and a stratified household survey (n = 624), complemented by semi-structured interviews with local officials and community leaders. A 1 m digital elevation model and crowdsourced drainage data inform a two-dimensional inundation model calibrated with water-level loggers and storm observations from 2018–2023. Spatial outputs are overlaid with indicators of tenure security, livelihood diversity, social networks, and access to basic services to construct a composite adaptive capacity index.

Results reveal a pronounced micro-topographic control on flood pathways, producing recurrent “islands of exposure” that do not align with administrative boundaries or existing hazard maps. While 58% of surveyed households fall within modeled annual inundation zones by 2035, only 31% exhibit moderate-to-high adaptive capacity. Tenure insecurity and deficient drainage governance, rather than income alone, are the strongest predictors of maladaptation, including the proliferation of informal embankments that displace water onto adjacent plots. Scenario analysis indicates that targeted investments in community-managed drainage and incremental tenure formalization reduce projected household exposure by up to 22% without inducing significant displacement.

The study advances urban coastal geography by demonstrating the value of coupling process-based flood modeling with socially nuanced measures of adaptive capacity. Findings underscore the need for sub-ward planning units, co-produced drainage maintenance regimes, and tenure-sensitive upgrading to equitably mitigate near-term tidal flooding under sea-level rise."
gpt-5.2-2025-12-11,"You are an expert academic writer specializing in producing realistic, high-quality research abstracts. You will be given an academic field, and your task is to generate a realistic academic abstract in that field. The abstract should be between 150 and 300 words in length and written in a formal academic style.
The abstract should clearly state:
- the research problem or question,
- the methodological approach,
- the main findings, and
- the key implications or contributions.
Do not include citations, references, section headings, or any explanatory text. Output only the abstract itself.",Academic field: Linguistics,Social Sciences,Linguistics,"This study investigates how prosodic prominence interacts with information structure to shape real-time interpretation in English, addressing the persistent question of whether pitch accent primarily signals discourse-newness or contrast. We conducted two complementary experiments combining controlled production and online comprehension. In a production task (N = 48), speakers described visually presented events under manipulated discourse contexts (given, new, contrastive), allowing measurement of acoustic correlates of prominence (F0 excursion, duration, intensity) and their alignment with syntactic focus positions. In a comprehension task (N = 96), listeners completed a visual-world eye-tracking paradigm while hearing sentences with systematically varied accent placement and boundary strength, enabling time-resolved inference of intended referents and alternatives. Results show that prominence is not a uniform marker of new information: speakers reliably increased F0 excursion and duration under contrastive contexts, while discourse-newness primarily affected phrasing and boundary cues. In comprehension, contrastive accents triggered rapid anticipatory looks to contextually licensed alternatives within 300–500 ms, whereas accents on discourse-new items produced weaker and later effects unless reinforced by prosodic phrasing. These findings support a model in which pitch accent encodes a gradient contrast signal, while broader prosodic structure contributes to packaging of discourse status. The study contributes an integrated account linking acoustic realization to incremental interpretation and suggests that theories of focus should distinguish prominence-based contrast from phrasing-based discourse management."
gpt-5.2-2025-12-11,"You are an expert academic writer specializing in producing realistic, high-quality research abstracts. You will be given an academic field, and your task is to generate a realistic academic abstract in that field. The abstract should be between 150 and 300 words in length and written in a formal academic style.
The abstract should clearly state:
- the research problem or question,
- the methodological approach,
- the main findings, and
- the key implications or contributions.
Do not include citations, references, section headings, or any explanatory text. Output only the abstract itself.",Academic field: Linguistics,Social Sciences,Linguistics,"This study investigates how prosodic prominence interacts with information structure to shape real-time interpretation in English, addressing the persistent question of whether pitch accent primarily signals discourse-newness or contrast. We conducted two complementary experiments combining controlled production and online comprehension. In a production task (N = 48), speakers described visually presented events under manipulated discourse contexts that varied in givenness and contrast. Acoustic analyses quantified F0 excursion, duration, and intensity on target nouns. In a comprehension task (N = 96), listeners completed a visual-world eye-tracking paradigm while hearing sentences with systematically varied accent placement and type, allowing us to measure anticipatory looks to contrastive versus non-contrastive referents. Results show that prominence is not a uniform marker of new information: speakers reliably increased F0 excursion and duration under contrastive contexts even when referents were discourse-given, whereas discourse-newness without contrast yielded smaller, less consistent enhancements. In comprehension, contrastive accents triggered earlier and stronger anticipatory fixations to contrast competitors than did broad-focus accents, indicating that listeners rapidly integrate prosodic cues with contextual alternatives. However, the strength of this effect depended on the availability of a salient alternative set, suggesting that prosodic interpretation is constrained by discourse structure rather than encoded categorically. These findings support a model in which prominence probabilistically signals the presence of relevant alternatives, refining accounts of the prosody–pragmatics interface and offering implications for computational models of spoken-language understanding that must represent contextual alternative sets."
gpt-5.1-2025-11-13,"You are an expert academic writer specializing in producing realistic, high-quality research abstracts. You will be given an academic field, and your task is to generate a realistic academic abstract in that field. The abstract should be between 150 and 300 words in length and written in a formal academic style.
The abstract should clearly state:
- the research problem or question,
- the methodological approach,
- the main findings, and
- the key implications or contributions.
Do not include citations, references, section headings, or any explanatory text. Output only the abstract itself.",Academic field: Linguistics,Social Sciences,Linguistics,"This study investigates how multilingual speakers dynamically allocate linguistic resources when constructing stance in online interaction. While previous work has documented code-switching patterns in social media, less is known about how multilingual users integrate lexical, syntactic, and orthographic features from their repertoires to index epistemic and affective positions in real time. Drawing on a corpus of 1.2 million posts from bilingual Spanish–English and Arabic–English users on a major microblogging platform, we combine quantitative variationist analysis with interactional sociolinguistic close reading. Posts are automatically language-tagged and parsed, and stance expressions are identified through a combination of lexicon-based tagging and distributional semantic clustering. Mixed-effects regression models test the effect of discourse context, audience design, and topic on language choice and stance-marking strategies, while qualitative analysis examines interactional sequences in which stance is contested or ratified.

The findings show that stance-related code-switching is highly asymmetric: affective stance is more frequently indexed in the societally minoritized language, whereas epistemic authority tends to be projected in the dominant language. Orthographic stylization, including nonstandard spellings and script mixing, functions as a resource for calibrating stance intensity and aligning with imagined audiences. Importantly, code-switching for stance is sensitive to interlocutor network density rather than only to broad demographic variables. The study contributes empirical evidence that online multilingual practices constitute a structurally patterned, stance-driven repertoire rather than random mixing. More broadly, it advances a usage-based model of multilingual stance-taking that integrates quantitative patterning with interactional contingencies, with implications for theories of indexicality, digital discourse, and the operationalization of stance in computational sociolinguistics."
gpt-5.2-2025-12-11,"You are an expert academic writer specializing in producing realistic, high-quality research abstracts. You will be given an academic field, and your task is to generate a realistic academic abstract in that field. The abstract should be between 150 and 300 words in length and written in a formal academic style.
The abstract should clearly state:
- the research problem or question,
- the methodological approach,
- the main findings, and
- the key implications or contributions.
Do not include citations, references, section headings, or any explanatory text. Output only the abstract itself.",Academic field: Linguistics,Social Sciences,Linguistics,"This study investigates how prosodic prominence interacts with information structure to shape real-time interpretation in English, addressing the persistent question of whether pitch accent primarily signals discourse-newness or contrast. We conducted two complementary experiments combining controlled production and online comprehension. In Experiment 1, 48 speakers produced scripted dialogues manipulating focus type (broad, narrow, contrastive) and givenness, allowing acoustic analysis of f0 excursion, duration, and intensity. In Experiment 2, 96 listeners completed a visual-world eye-tracking task in which identical segmental strings were presented with prosodic manipulations derived from Experiment 1, while contextual questions biased either contrastive or non-contrastive interpretations. Mixed-effects models revealed that contrastive contexts elicited reliably larger f0 excursions and longer stressed-vowel durations than narrow non-contrastive focus, even when the focused constituent was discourse-given. In comprehension, contrastive prosody accelerated fixation to contrast competitors and reduced looks to discourse-salient but non-contrast alternatives, indicating that listeners use prominence to anticipate a contrast set rather than merely to mark new information. However, when contextual support for contrast was weak, prominence effects attenuated and listeners defaulted to a newness-based heuristic. These findings support a probabilistic mapping between prosody and information structure in which prominence encodes contrast as a primary cue modulated by contextual priors. The results contribute to models of prosody–pragmatics interface by specifying acoustic correlates of contrast and demonstrating their incremental use in interpretation."
gpt-5.1-2025-11-13,"You are an expert academic writer specializing in producing realistic, high-quality research abstracts. You will be given an academic field, and your task is to generate a realistic academic abstract in that field. The abstract should be between 150 and 300 words in length and written in a formal academic style.
The abstract should clearly state:
- the research problem or question,
- the methodological approach,
- the main findings, and
- the key implications or contributions.
Do not include citations, references, section headings, or any explanatory text. Output only the abstract itself.",Academic field: Education,Social Sciences,Education,"This study examines how secondary school teachers’ formative assessment practices influence students’ self-regulated learning in mixed-ability classrooms. Despite widespread advocacy for assessment for learning, empirical evidence remains limited regarding the mechanisms through which formative feedback fosters students’ goal-setting, strategic planning, and self-monitoring. The research addresses the question: How do specific formative assessment practices shape the development of self-regulated learning among diverse learners?

A convergent mixed-methods design was employed in 12 public secondary schools. Quantitative data were collected from 842 students via validated self-regulated learning and classroom assessment environment scales, alongside achievement scores in mathematics and language arts. Qualitative data derived from 48 classroom observations and semi-structured interviews with 36 teachers and 72 students were analyzed thematically. Quantitative data were analyzed using multilevel modeling to account for classroom-level effects.

Findings indicate that formative assessment practices characterized by explicit learning intentions, co-construction of success criteria, and dialogic feedback are significantly associated with higher levels of student self-regulation and academic achievement, controlling for prior performance and socioeconomic status. Qualitative analyses reveal that student participation in peer- and self-assessment mediates this relationship by enhancing perceived autonomy and competence. However, these benefits are attenuated in classrooms where grades dominate feedback conversations.

The study contributes to assessment and motivation theory by clarifying how formative practices operationalize self-regulated learning processes in heterogeneous classrooms. Practically, it suggests that professional development should prioritize teacher skill in designing shared success criteria and conducting feedback dialogues that invite student agency, rather than focusing solely on frequency of assessment."
gpt-5.2-2025-12-11,"You are an expert academic writer specializing in producing realistic, high-quality research abstracts. You will be given an academic field, and your task is to generate a realistic academic abstract in that field. The abstract should be between 150 and 300 words in length and written in a formal academic style.
The abstract should clearly state:
- the research problem or question,
- the methodological approach,
- the main findings, and
- the key implications or contributions.
Do not include citations, references, section headings, or any explanatory text. Output only the abstract itself.",Academic field: Education,Social Sciences,Education,"This study investigates how formative assessment practices embedded in daily instruction influence middle school students’ self-regulated learning and achievement in mathematics, with particular attention to differential effects for students from historically underserved backgrounds. Using a mixed-methods, quasi-experimental design, we compared 18 classrooms implementing a structured formative assessment routine (learning intentions, success criteria, hinge questions, and feedback cycles) with 17 matched comparison classrooms across four public schools over one semester. Quantitative analyses employed multilevel modeling of pre–post achievement scores and validated self-regulation survey measures, controlling for prior attainment and demographic covariates. Qualitative data from classroom observations, teacher interviews, and student focus groups were analyzed thematically to characterize implementation fidelity and mechanisms of impact. Results indicate that students in intervention classrooms demonstrated significantly greater gains in mathematics achievement and self-regulated learning, with the largest effects observed for students with lower baseline performance. Mediation analyses suggest that improvements in students’ monitoring strategies and perceived feedback usefulness partially explain achievement gains. Qualitative findings reveal that teachers’ use of hinge questions and timely, task-focused feedback supported students’ error diagnosis and goal adjustment, while inconsistent articulation of success criteria limited benefits in some classrooms. The study contributes evidence that routine, instructionally integrated formative assessment can strengthen self-regulation and narrow performance gaps when implemented with attention to feedback quality and clarity of learning goals. Implications include targeted professional learning focused on designing diagnostic questions and translating evidence of learning into actionable feedback."
gpt-5-2025-08-07,"You are an expert academic writer specializing in producing realistic, high-quality research abstracts. You will be given an academic field, and your task is to generate a realistic academic abstract in that field. The abstract should be between 150 and 300 words in length and written in a formal academic style.
The abstract should clearly state:
- the research problem or question,
- the methodological approach,
- the main findings, and
- the key implications or contributions.
Do not include citations, references, section headings, or any explanatory text. Output only the abstract itself.",Academic field: Education,Social Sciences,Education,"Amid persistent disparities in student engagement and outcomes, this study investigates how culturally responsive teaching (CRT) practices influence middle school learners’ academic motivation and achievement in linguistically diverse classrooms. The research asks: To what extent do teachers’ enactment of CRT predict changes in students’ intrinsic motivation, sense of belonging, and standardized literacy performance over one academic year? Employing a convergent mixed-methods design, we collected survey data from 1,042 students across 28 urban public schools, classroom observations of 84 English Language Arts lessons using a validated CRT rubric, and semi-structured interviews with 36 teachers. Multilevel modeling assessed associations between observed CRT practices and student outcomes, controlling for prior achievement and demographic factors; qualitative thematic analysis examined teachers’ rationales and implementation challenges.

Findings indicate that higher levels of culturally responsive instructional moves—particularly funds-of-knowledge integration, dialogic discourse, and asset-based feedback—are significantly associated with increases in students’ intrinsic motivation (β = 0.31, p < .01) and belonging (β = 0.27, p < .01), and with modest gains in literacy scores (d = 0.18) net of controls. Qualitative data reveal that teacher autonomy, structured planning time, and access to community partnerships enable consistent CRT enactment, whereas curriculum pacing pressures and limited assessment flexibility constrain it. Effects are strongest for multilingual learners and students with historically lower baseline achievement.

The study contributes empirical evidence linking observed CRT practices to both socioemotional and academic outcomes, elucidates organizational conditions that facilitate sustained implementation, and refines a practical observation rubric with demonstrated predictive validity. Implications include prioritizing professional learning focused on dialogic pedagogy and community-anchored curriculum design, revising assessment policies to allow culturally responsive demonstrations of learning, and aligning school schedules to protect collaborative planning that supports equitable instruction."
gpt-5-2025-08-07,"You are an expert academic writer specializing in producing realistic, high-quality research abstracts. You will be given an academic field, and your task is to generate a realistic academic abstract in that field. The abstract should be between 150 and 300 words in length and written in a formal academic style.
The abstract should clearly state:
- the research problem or question,
- the methodological approach,
- the main findings, and
- the key implications or contributions.
Do not include citations, references, section headings, or any explanatory text. Output only the abstract itself.",Academic field: Education,Social Sciences,Education,"This study investigates how structured formative assessment influences middle school students’ self-regulated learning and achievement in mathematics. Despite widespread endorsement of formative assessment, evidence remains mixed regarding which practices effectively cultivate students’ goal setting, monitoring, and strategy use. We asked: To what extent do specific formative assessment routines—learning target clarification, metacognitive prompts, and feedback cycles—improve self-regulated learning behaviors and problem-solving performance, and through what mechanisms?

We employed a convergent mixed-methods design across 18 public schools, randomly assigning 54 seventh-grade classes (n = 1,287 students) to business-as-usual or a 14-week professional learning intervention for teachers. The intervention emphasized co-construction of success criteria, student self-evaluation checklists, and feedback aligned to task, process, and self-regulation. Quantitative data included pre/post measures of self-regulated learning, mathematics problem-solving, and interim curriculum-embedded assessments; qualitative data comprised classroom observations and student reflective interviews. Multilevel models estimated treatment effects and mediational pathways; thematic analysis examined implementation fidelity and student sense-making.

Students in intervention classes demonstrated statistically and educationally meaningful gains in self-regulation and problem-solving relative to controls, with effects strongest for metacognitive strategy use and multi-step reasoning. Mediation analyses indicated that increases in students’ accurate self-evaluation and strategic planning accounted for a substantial portion of achievement gains. Qualitative evidence showed that co-constructed criteria and iterative feedback normalized productive struggle and shifted classroom discourse toward explanation and justification.

Findings suggest that formative assessment enhances achievement primarily by strengthening self-regulatory processes rather than only correcting errors. The study contributes a practice-specific theory of change and offers actionable design principles for teacher professional learning that integrate transparent goals, student-owned assessment, and feedback targeting regulation. Implications include refining assessment policy to prioritize student agency indicators alongside traditional performance metrics."
gpt-5-2025-08-07,"You are an expert academic writer specializing in producing realistic, high-quality research abstracts. You will be given an academic field, and your task is to generate a realistic academic abstract in that field. The abstract should be between 150 and 300 words in length and written in a formal academic style.
The abstract should clearly state:
- the research problem or question,
- the methodological approach,
- the main findings, and
- the key implications or contributions.
Do not include citations, references, section headings, or any explanatory text. Output only the abstract itself.",Academic field: Philosophy,Humanities,Philosophy,"This paper investigates how affective experience informs moral judgment by examining the epistemic status of emotions in ethical deliberation. While dominant rationalist accounts treat emotions as disruptive biases, recent sentimentalist approaches argue that emotions can track morally salient features of situations. The central question is whether, and under what conditions, emotions provide justificatory reasons rather than merely causal influences. Methodologically, the study integrates conceptual analysis with a targeted comparison of cases involving moral luck and risk, alongside an examination of affective misfires such as disgust-based judgments. It further advances a modest reliabilist model that assesses discrete emotion types according to their sensitivity to normatively relevant properties and their susceptibility to distortion, operationalized through criteria of robustness, cross-situational coherence, and responsiveness to counterevidence.

The analysis yields three findings. First, some emotions—particularly compassion and indignation—exhibit domain-specific reliability by rapidly foregrounding harms, violations, and claims of others that deliberative reasoning often neglects under time or information constraints. Second, emotions contribute justificatory force when they are integrated into a process that permits calibration via reflection, dialogic challenge, and attention to defeaters; absent these conditions, their evidential status deteriorates. Third, emotions such as disgust and fear display systematic distortions tied to cultural contamination and status-quo bias, warranting presumptive discounting unless corroborated by independent considerations.

The paper contributes a unified framework for discriminating between epistemically virtuous and vicious emotions without collapsing into either affective skepticism or uncritical sentimentalism. It implies a proceduralist revision to practical reason: ethically competent agents should cultivate regulated affective attunement and embed emotion-responsive checkpoints within deliberation, institutional design, and pedagogy to enhance moral accuracy while mitigating predictable affective errors."
gpt-5.1-2025-11-13,"You are an expert academic writer specializing in producing realistic, high-quality research abstracts. You will be given an academic field, and your task is to generate a realistic academic abstract in that field. The abstract should be between 150 and 300 words in length and written in a formal academic style.
The abstract should clearly state:
- the research problem or question,
- the methodological approach,
- the main findings, and
- the key implications or contributions.
Do not include citations, references, section headings, or any explanatory text. Output only the abstract itself.",Academic field: Philosophy,Humanities,Philosophy,"This article investigates whether moral responsibility is compatible with the pervasive influence of situational factors documented by contemporary empirical psychology. The central question is whether agents can be justifiably held responsible when their behavior is strongly shaped by factors such as mood, framing effects, and environmental cues that appear to be outside their reflective control. Drawing on experimental data from social psychology, the paper analyzes several paradigmatic cases of situational influence and reconstructs them within a framework of reasons-responsiveness. Methodologically, the study employs conceptual analysis combined with a normative evaluation of empirical findings, assessing the extent to which different models of moral responsibility—control-based, quality-of-will, and reasons-responsive accounts—can accommodate situational variability without collapsing into skepticism.

The main finding is that strong situationist arguments against moral responsibility rely on an implausibly global standard of control, according to which any non-rational influence undermines responsibility. By contrast, a moderate, domain-specific conception of reasons-responsiveness can preserve responsibility in many ordinary cases, even where behavior is partially shaped by situational factors, provided that agents retain a stable capacity to recognize and act on moral reasons across a suitable range of circumstances. However, the analysis also shows that traditional attributions of responsibility are often overly confident: situational data warrant systematic mitigation of blame and retributive punishment in contexts characterized by predictable vulnerability to non-rational influences.

The key contribution of the article is to articulate a compatibilist, empirically informed account of moral responsibility that both resists radical situationist skepticism and normatively revises everyday practices of blame. This framework has implications for criminal law, educational policy, and interpersonal moral judgment, suggesting a shift towards responsibility practices that are responsive to empirical constraints on human agency."
gpt-5.2-2025-12-11,"You are an expert academic writer specializing in producing realistic, high-quality research abstracts. You will be given an academic field, and your task is to generate a realistic academic abstract in that field. The abstract should be between 150 and 300 words in length and written in a formal academic style.
The abstract should clearly state:
- the research problem or question,
- the methodological approach,
- the main findings, and
- the key implications or contributions.
Do not include citations, references, section headings, or any explanatory text. Output only the abstract itself.",Academic field: Philosophy,Humanities,Philosophy,"This paper investigates whether moral responsibility can be preserved under a broadly naturalistic picture in which human agency is constituted by subpersonal predictive and control mechanisms. The central question is how, if at all, practices of blame and praise can be justified when deliberation and choice are modeled as outcomes of hierarchical inference rather than as exercises of an irreducible will. Methodologically, the argument combines conceptual analysis of responsibility attributions with a reconstructive account of agency drawn from contemporary predictive-processing models, and it tests competing responsibility conditions—control, reasons-responsiveness, and ownership—against cases involving compulsion, addiction, and algorithmically mediated decision environments. The paper’s main finding is that standard control-based accounts either over-ascribe responsibility by ignoring systematic distortions in self-modeling or under-ascribe it by demanding metaphysically robust alternatives to causal determination. In response, the paper develops an “ecological ownership” condition: an agent is responsible to the extent that their action issues from stable, counterfactually resilient self-regulatory policies that are maintained through socially scaffolded feedback and can be revised in light of reasons. This condition explains why responsibility can be diminished in contexts that erode policy stability (e.g., coercive environments) while remaining compatible with causal explanation. The contribution is a unified framework that links responsibility to modifiable regulatory architecture, thereby grounding normative practices in empirically tractable features of agency and clarifying the role of social institutions in sustaining responsible selves."
gpt-5-2025-08-07,"You are an expert academic writer specializing in producing realistic, high-quality research abstracts. You will be given an academic field, and your task is to generate a realistic academic abstract in that field. The abstract should be between 150 and 300 words in length and written in a formal academic style.
The abstract should clearly state:
- the research problem or question,
- the methodological approach,
- the main findings, and
- the key implications or contributions.
Do not include citations, references, section headings, or any explanatory text. Output only the abstract itself.",Academic field: Philosophy,Humanities,Philosophy,"This paper investigates how collective responsibility can be meaningfully ascribed in cases of complex harm where no individual agent satisfies traditional conditions for moral blameworthiness. The research problem is whether collective responsibility is reducible to aggregated individual responsibilities or requires a distinct normative framework. Employing conceptual analysis informed by contemporary action theory, this study develops a hybrid model that integrates relational agency, normative powers, and organizational structures. The methodological approach combines argument reconstruction of leading positions on shared agency and group intention with a series of counterexample-driven thought experiments testing ascriptions of responsibility across informal groups, structured organizations, and socio-technical systems.

The main findings are threefold. First, purely summative accounts fail to explain responsibility gaps in distributed harms, while fully non-reductive accounts obscure the normative link between individual capacities and collective obligations. Second, the proposed hybrid model grounds collective responsibility in role-mediated participatory agency: individuals acquire second-order obligations, including duties to coordinate, monitor, and contest harmful trajectories, when they occupy roles embedded in practices that generate joint capacities. Third, in socio-technical systems, algorithmic mediation amplifies participatory agency by creating coordination affordances that expand what groups can foreseeably control, thereby justifying forward-looking collective duties even when backward-looking blame is indeterminate.

The key implications are that institutional design should incorporate responsibility-tracking mechanisms aligned with role-mediated capacities; that moral appraisal should distinguish fault from failure of stewardship in collective contexts; and that legal doctrines of negligence and corporate liability can be normatively stabilized by recognizing duties to sustain collective competence. The paper contributes a principled account that preserves individual moral significance while explaining how groups can bear responsibilities that are neither merely aggregated nor mysteriously sui generis."
